0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:01 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:01 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:01 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:09 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:28 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:25:29 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/index.jsp?type=update&id=1 HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:19 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:25 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:26 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/css/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "POST /05_TodoApp/index.jsp HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2014:10:26:27 +0100] "GET /05_TodoApp/res/js/jquery-ui.min.js HTTP/1.1" 304 -
